title,address,city,state,zipcode,type
GERMAN SCHNITZEL HAUS,13245 ATLANTIC BLVD STE 1,JACKSONVILLE,FL,32250,Draft
THIRD RAIL TAVERN,1133 W MADISON,CHICAGO,IL,60607,Draft
MATT HANSON,2100 A JACKSON AVE,HUNTSVILLE,AL,35805,Draft
BRIGADOON'S,5748 W LAWRENCE AVE,CHICAGO,IL,60630,Draft
ROTARY CLUB OF CARROLL CR,797 E PATRICK ST,FREDERICK,MD,21701,Draft
KELLEHERS IRISH PUB & EAT,619 SW WATER STREET,PEORIA,IL,61602,Draft
FRANCE 44 WINE & SPRITS,4351 FRANCE AVE SO,MINNEAPOLIS,MN,55410,Draft
GERMANIC - AMERICAN,301 SUMMIT AVE,ST. PAUL,MN,55101,Draft
HOOPERS SPORTS BAR&GRILL INC.,975 N. MCLEAN BLVD.,ELGIN,IL,60123,Draft
PORT O' CALL,310 MILWAUKEE ST,KEWAUNEE,WI,54216,Draft
TENUTAS WINE AND LIQUOR,3203 52ND STREET,KENOSHA,WI,53142,Draft
COPPER HOUSE TAVERN,380 WINTER STREET,WALTHAM,MA,02451,Draft
BAR LOUIE - MISHAWAKA,6501 N GRAPE ROAD SUITE 1000,MISHAWAKA,IN,46545,Draft
ACME DRAFT HOUSE,439 ATLANTIC CITY BLVD,BAYVILLE,NJ,08721,Draft
GINGERMAN PLANO PRIVATE CLUB,7205  BISHOP,PLANO,TX,750243627,Draft
GRUMPY'S ITALIAN GRILL,402 9TH STREET SW,CULLMAN,AL,35055,Draft
BLARNEY STONE  THE,408 EAST MAIN AVE.,BISMARCK,ND,58501,Draft
MACBEEBS LLC DBA FARMSTEAD,W62 N238 WASHINGTON AVE,CEDARBURG,WI,53012 276,Draft
508 CLUB,508 FIRST AVE,MINNEAPOLIS,MN,55403,Draft
EAGLE RIVER INN,5260 HWY 70 WEST,EAGLE RIVER,WI,54521,Draft
GRUMPY'S-ROSEVILLE,2801 NO. SNELLING AVENUE,ROSEVILLE,MN,55113,Draft
SOUTH LYNDALE LIQUOR,5300 LYNDALE AVE SO,MINNEAPOLIS,MN,55419,Draft
WOODEN KEG,2207 JEFFERSON BLVD.,HAGERSTOWN,MD,21740,Draft
DISCOUNT DRINKS,2811 FORT,WYANDOTTE,MI,48192,Draft
JOE CANALS DISC LIQ LAWRE,3375 ROUTE 1  SUITE 2,LAWRENCEVILLE,NJ,08648,Draft
ON THE ROCKS,W282 N7149 MAIN ST,MERTON,WI,53056,Draft
JOSHUA TREE,256 ELM ST,SOMERVILLE,MA,02144,Draft
BREWER'S OUTLET-PHILADELPHIA-GERMAN,7401 GERMANTOWN AVE,PHILADELPHIA,PA,19119,Draft
FRANKFORD HALL,1210-22 FRANKFORD AVE,PHILADELPHIA,PA,19125,Draft
GINA'S SPORTS DOCK,W278 N2345 PROSPECT,PEWAUKEE,WI,53072 521,Draft
BLANCHARDS-ALLSTON  INC.,103 HARVARD AVE,ALLSTON,MA,02134,Draft
THE BULLS AND THE BEARS,40 S POTOMAC ST,HAGERSTOWN,MD,217405513,Draft
RODINO-PARKMOR LIQUORS,1520 EDWARDSBURG RD,ELKHART,IN,46514,Draft
OBLIO'S,434 N MAIN STREET,OSHKOSH,WI,54901,Draft
VON TRIER/VTT ENTERPRISES INC,2235 N FARWELL AV,MILWAUKEE,WI,53202,Draft
MARKET CROSS BREWERY,113 NORTH HANOVER STREET,CARLISLE,PA,17013,Draft
BREWSKIS SPORTS CLUB,304 N 76TH ST,MILWAUKEE,WI,53213,Draft
AMELIA'S,724 E LAYTON AVE,MILWAUKEE,WI,53207,Draft
Freuden Festival,3028 Pearl St,Batesville,IN,47007,Draft
WHARF RESTAURANT  THE,709 WEST BURK AVENUE,WILDWOOD,NJ,08260,Draft
KELLY'S LOGAN HOUSE LTD.,1701 DELAWARE AVENUE,WILMINGTON,DE,19806,Draft
KC'S KORNER,100 OAK TREE AVE,SOUTH PLAINFIELD,NJ,070800000,Draft
BOBBY'S BARREL INN,35009 N GILMER RD,Volo,IL,60073,Draft
TAP AND TABLE,284 EXCHANGE BLVD.,ROCHESTER,NY,14608,Draft
VIA MARCONI SMOKE HOUSE,155 CHURCH RD @PENBK STAT,LANSDALE,PA,19446,Draft
NORTHERN GRILL & LODGING,321 COUNTRY WALK LN,SISTER BAY,WI,54234,Draft
WORLD OF BEER-07380,100 4TH ST S,ST PETERSBURG,FL,33701,Draft
MAVERICKS,2030 W HOWARD AVE,MILWAUKEE,WI,53221,Draft
LOWELL SPINNERS,LELACHEUR PK/450 AIKEN ST,LOWELL,MA,01854,Draft
IVANHOE PUB AND EATERY,231 MAIN STREET,RACINE,WI,53403,Draft
BAILEY'S PUB & GRILL,22091 MICHIGAN,DEARBORN,MI,48124,Draft
SIDETRACK,56 E. CROSS,YPSILANTI,MI,48197,Draft
THE BEER YARD,218 EAST LANCASTER AVENUE,WAYNE,PA,19087,Draft
CLUB TAVERN,56 RACINE ST.,MENASHA,WI,54952,Draft
SEBASTIAN'S STEAK HOUSE,770 S.MAIN ST.,FOND DU LAC,WI,54935,Draft
ROMA PIZZA,N8416 HIGHWAY ES,EAST TROY,WI,53120,Draft
HARBORSIDE RESTAURANT,701 YORK STREET,MANITOWOC,WI,54220,Draft
COUNTRY LIQUOR STORE,1 ROUTE 521,HOPE,NJ,078440000,Draft
MUSTANG SHELLY'S ROADHOUSE,18540 W NATIONAL AVE,NEW BERLIN,WI,53146 424,Draft
WINE BAR,320 1ST ST N #102,JACKSONVILLE BC,FL,32250,Draft
ESSEX COUNTY CLUB,155 SCHOOL STREET,MANCHESTER,MA,01944,Draft
Topo's 403,403 N. Walnut St,Bloomington,IN,47404,Draft
HOUSE OF MUSIC & ENTRNMT,1227 E RAND RD,ARLINGTON HTS,IL,60004,Draft
THE PUB,114 N MAIN STREET,OCONOMOWOC,WI,53066 520,Draft
CACTUS BAR & GRILL,404-412 S WELLS ST,CHICAGO,IL,60607,Draft
MOSER'S CAFE & CATERING,127 E MICHIGAN STREET,NEW CARLISLE,IN,46552,Draft
COMMUNITY NURSE HEALTH,4900 S VERNON AVE,MC COOK,IL,60525,Draft
FLANNERYS,5 NORTH MAIN STREET,MERCERSBURG,PA,17236,Draft
SHOPRITE LIQUORS OF FRHLD,3585 HIGHWAY 9 -SUITE 170,FREEHOLD,NJ,07728,Draft
FOUR FIRKINS,5630 36TH STREET,ST. LOUIS PARK,MN,55416,Draft
BINNY'S BEVERAGE DEPOT -S,5100 DEMPSTER ST,SKOKIE,IL,60076,Draft
BUFFALO W.W.GRILL & BAR,207 E. ROOSEVELT RD,LOMBARD,IL,60148,Draft
BERSERKERS,1811 19TH STREET,TWO RIVERS,WI,54241,Draft
FAT SEAGULL THE,807 QUAY STREET,MANITOWOC,WI,54220,Draft
PAPA LUIGIS PIZZA INC,3475 E LAYTON AVE,CUDAHY,WI,53110,Draft
BLACK BIRD,3800 NICOLLET AVENUE SO,MINNEAPOLIS,MN,55419,Draft
GRAND & WESTERN,515 N WESTERN AVE,CHICAGO,IL,60622,Draft
KEYPORT YACHT CLUB,115 FIRST STREET,KEYPORT,NJ,07735,Draft
MARX PIONEER INN,W180S7807 PIONEER DRIVE,MUSKEGO,WI,53150 946,Draft
SPORTSMAN'S LANDING,25313 W LOOMIS ROAD,WIND LAKE,WI,53185,Draft
RSA OFFICERS CLUB BAR,130 BLDG 130,REDSTONE ARSENA,AL,35809,Draft
MR. B'S RUSTIC TAVERN,101 W. GRAND RIVER,HOWELL,MI,48855,Draft
WESTFORD PKG STORE INC,175 LITTLETON RD,WESTFORD,MA,01886,Draft
NORTHERN LIGHTS LOUNGE,660 BALTIMORE W.,DETROIT,MI,48202,Draft
PAZ'S POINT COMFORT,N52 W35002 LAKE DR,OKAUCHEE,WI,53069 973,Draft
TOMMY KNUCKLES,433 W DIVERSEY,CHICAGO,IL,60614,Draft
STELLA BLUES,306 E. MADISON ST,EAU CLAIRE,WI,54703,Draft
WATERFRONT RESTAURANT,325 CITY MARKET,LANSING,MI,48912,Draft
OYSTER CREEK INN,41 NORTH OYSTER CREEK RD.,LEEDS POINT,NJ,08220,Draft
CAFE MISTIKO,20510 N. MILWAUKEE AVE.,Deerfield,IL,60015,Draft
MANITOWOC YACHT CLUB,815 MARITIME DRIVE,MANITOWOC,WI,54220,Draft
BUFFALO WILD WINGS #410 NEWBRLN,15306 W BELOIT ROAD,NEW BERLIN,WI,53151,Draft
THE CORK FINE WINE & SPIRITS,1597 EAST MAIN ST.,TORRINGTON,CT,067900000,Draft
BULL DOG -N.E.,401 EAST HENNEPIN,MINNEAPOLIS,MN,55414,Draft
BUFFALO WILD WINGS SUNSET,1180 W SUNSET DRIVE STE 106,WAUKESHA,WI,53189,Draft
BLEND BAR & BISTRO,911 HIGHWAY 33,HAMILTON,NJ,08619,Draft
STEIN HAUS,324 JAY STREET,LA CROSSE,WI,54601,Draft
POPEYE'S,811 WRIGLEY DRIVE,LAKE GENEVA,WI,53147,Draft
ZIN,629 MAIN STREET,DELAFIELD,WI,53018,Draft
WEBERS RESTAURANT EFT,3050 JACKSON RD.,ANN ARBOR,MI,48103,Draft
PEPINOS RESTAURANT,N84 W15841 APPLETON AVE,MENOMONEE FALLS,WI,53051 308,Draft
BISTRO BELLA VITA,44 GRANDVILLE AVE SW,GRAND RAPIDS,MI,49503,Draft
MISC.,X,X,IL,00000,Draft
JOEY'S ON 6TH LLC,910 6TH STREET,RACINE,WI,53403,Draft
OLD CHICAGO PASTA & PIZZA,9010 TAYLORSVILLE RD,LOUISVILLE,KY,40299,Draft
MR. B'S,23956 HIGHWAY 53,ELWOOD,IL,60421,Draft
BEER GARDEN AT HARBOR POINT,15 HARBOR POINT RD,STAMFORD,CT,069020000,Draft
The Beer Market,1270 S Milwaukee Ave,Vernon Hills,IL,60061,Draft
SUPERIOR BEVERAGE CO.,701 WHEATLAND PO BX 547,PHOENIXVILLE,PA,19460,Draft
BLUE BIRD INN INC,2387 CORNWALL RD,LEBANON,PA,17042,Draft
IPIC GOLD CLASS ENTERTAIN,619 E. BOUGHTON RD STE152,BOLINGBROOK,IL,60440,Draft
O'SULLIVAN'S PUBLIC HOUSE,12525 W NORTH AVE,BROOKFIELD,WI,53005 462,Draft
MAC & LINDY'S FINE WINE,530 ROUTE 515/PO BOX 400,VERNON TWP.,NJ,074620000,Draft
OLD CHICAGO PIZZA,5314 S WESTNEDGE AVE,PORTAGE,MI,490020406,Draft
DELAWARE SAENGERBUND,49 SALEM CHURCH ROAD,NEWARK,DE,19713,Draft
PRACNA ON MAIN,117 MAIN STREET S.E.,MINNEAPOLIS,MN,55414,Draft
Lindy Liquor,613 N Grand Ave,Connersville,IN,47331,Draft
COVENTRY PUB,1440 S. HANOVER STREET,POTTSTOWN,PA,19464,Draft
GARY'S CORP OF OAK CREEK,9555 S HOWELL AVE,OAK CREEK,WI,53154,Draft
DARBY ROAD,450 PARK AVE,SCOTCH PLAINS,NJ,070760000,Draft
DOVER DOWNS,P. O. BOX 1412,DOVER,DE,19903,Draft
FOX'S LOUNGE NEW-MIDWEST HOTELS ANT,350 W Rt 173,Antioch,IL,60002,Draft
TPC AT DEERE RUN,3100 HEATHER KNOLL,SILVIS,IL,61282,Draft
THE BRICK,1145 NORTHSIDE BLVD,SOUTH BEND,IN,46615,Draft
GASTHAUS BAVARIAN HUNTER,8390 LOFTON AVE NO,STILLWATER,MN,55082,Draft
BUFFALO WILD WINGS WB,705 WEST PARADISE DRIVE,WEST BEND,WI,53095,Draft
PAULIE'S PUB,2736 CHICAGO ROAD,S. CHICAGO HEIGHTS,IL,60411,Draft
TRYSTING PLACE/SM ZIZZO IN,N71 W12980 APPLETON AVE,MENOMONEE FALLS,WI,53051,Draft
The Tap,101 N College Ave,Bloomington,IN,47404,Draft
POPS PIZZA & PUB,747 S PLUM GROVE RD,ROSELLE,IL,60172,Draft
MOTHER HUBBARD'S,5 W HUBBARD ST,CHICAGO,IL,60610,Draft
HEY LLC DBA MAXIM'S OCON. DEPOT,115 E COLLINS ST,OCONOMOWOC,WI,53066,Draft
THE DOWNTOWN-WARSAW,205 W CENTER ST,WARSAW,IN,46580,Draft
WESTERN LAKES GOLF CLUB INC,W287 N1963 OAKTON RD,PEWAUKEE,WI,53072 508,Draft
UNO CHICAGO GRILL-BENSALEM,801 NESHAMINY MALL,BENSALEM,PA,19020,Draft
FOX HOLLOW,N3287 CR-OA,LA CROSSE,WI,54601,Draft
EL BESO,5030 S 74TH ST,GREENFIELD,WI,53228,Draft
THE CASK REPUBLIC,181 CROWN STREET,NEW HAVEN,CT,06510,Draft
BAR LOUIE,162 COMMONS DRIVE,GENEVA,IL,60134,Draft
POOR PHILS OYSTER BAR,1110 PLEASANT ST,OAK PARK,IL,60302,Draft
HARRIGAN'S PACKAGE STORE,505 BAY ROAD,HAMILTON,MA,01936,Draft
SPEC'S #111,1671 IH 35 SOUTH STE 302,NEW BRAUNFELS,TX,78130,Draft
PADDY LONG'S,1028 W DIVERSEY,CHICAGO,IL,60614,Draft
CURLY'S WATERFRONT PUB AND GRILL,W272 N2696 LAKEVIEW BLVD,PEWAUKEE,WI,53072 441,Draft
LITTLE PUB,26 DANBURY RD,WILTON,CT,068970000,Draft
LEE'S CLEVELAND PUB & GRILL,14000 W CLEVELAND AVE,NEW BERLIN,WI,53151,Draft
DANDEE LIQUOR MART,3700 MEACHEM ROAD,RACINE,WI,53404,Draft
MUNICH HAUS,13 CENTER STREET,CHICOPEE,MA,01013,Draft
BJ MCMAHONS,5432 W 95TH ST,OAK LAWN,IL,60453,Draft
BOERNER BOTANICAL GARDEN-BART,5879 S 92ND ST,HALES CORNERS,WI,53130,Draft
STONE CELLAR AT ROUND TOP  THE,204 EAST MILL STREET,ROUND TOP,TX,78954,Draft
RADEGAST HALL & BIERGARTEN,113 / 115 NORTH 3RD STREET,BROOKLYN,NY,11211,Draft
FILLING STATION,300 W. MAIN STREET,ST. CHARLES,IL,60174,Draft
DOYLESTOWN MAENNERCHOR,40 E OAKLAND AVE,DOYLESTOWN,PA,18901,Draft
HUNGER N THIRST,920 LANDIS AVE,LANCASTER,PA,17603,Draft
RED CIRCLE INN,N44 W33013 WATERTOWN PLANK RD,NASHOTAH,WI,53058 970,Draft
REEL CLUB,272 OAKBROOK CENTER,OAK BROOK,IL,60523,Draft
HILTON NEWARK A.P.  #4130,1170 SPRING STREET,ELIZABETH,NJ,072010000,Draft
MERCURY MOON BAR & GRILLE,2015 CR 220,ORANGE PARK,FL,32003,Draft
R & S CARDINAL LIQUORS,415 E. WILSON STREET,BATAVIA,IL,60510,Draft
BILL'S OLDE TAVERN,2694 NOTTINGHAM WAY,HAMILTON,NJ,08619,Draft
STEAKHOUSE 85,85 CHURCH ST,NEW BRUNSWICK,NJ,08901,Draft
JACOB WIRTH,33-37 STUART ST,BOSTON,MA,02116,Draft
BIG DOG SPORTS GRILL,9427 W GREENFIELD AVE,WEST ALLIS,WI,53214,Draft
BUY-LOW/DANNY'S,2222 N WESTERN AVE,CHICAGO,IL,60647,Draft
PANTHER PUB,1579 COUNTY ROAD 517,ALLAMUCHY,NJ,078200000,Draft
TOWN LINE FINE WINE  SPIRITS,475 HAWLEY LANE,STRATFORD,CT,066140000,Draft
MUDDY PIG,162 N. DALE,ST. PAUL,MN,55102,Draft
SPIN MILWAUKEE,233-39 E CHICAGO ST,MILWAUKEE,WI,53202,Draft
TORRENCE LIQS (UNITED LIQ,616 S TORRENCE AVE,CALUMET CITY,IL,60409,Draft
PALLAS/ARIS SPORT BAR,1657 S 108TH ST,WEST ALLIS,WI,53227,Draft
RIVER ROCKHOUSE,106 S. 1ST AVENUE,SAINT CHARLES,IL,60174,Draft
THE BOTTLE ROOM,2300 LINEVILLE RD STE 101,GREEN BAY,WI,54313,Draft
OFFICE DINING & SPIRITS,201 E. MAIN STREET,ST. CHARLES,IL,60174,Draft
ELI'S EAST,815 E HENNEPIN AVE,MINNEAPOLIS,MN,55414,Draft
DOPP'S BAR & GRILL,1753 S 68TH ST,WEST ALLIS,WI,53214,Draft
BANK SHOT,34 NORTH MAIN ST,HARTFORD,WI,53027 155,Draft
MICHAEL'S RESTAURANT,1400 S GRAND AVE,WAUKESHA,WI,53189 763,Draft
PHEASANTS LANDING,311 AMWELL RD,HILLSBOROUGH,NJ,088440000,Draft
DISCOUNT LIQUOR INC,5031 W OKLAHOMA AVE,MILWAUKEE,WI,53219,Draft
PEABODY'S,544 NORTH MAIN STREET,OSHKOSH,WI,54901,Draft
FIRESIDE RESTAURANT,2801 30TH AVENUE,KENOSHA,WI,53142,Draft
GERMANTOWN HISTORICAL SOCIETY,118780 HOLY HILL RD,GERMANTOWN,WI,53022,Draft
BULL DOG -ST. PAUL,237 E. SIXTH STREET,ST. PAUL,MN,55101,Draft
BUFFALO WILDWINGS #407 WTERST,1123 N WATER ST,MILWAUKEE,WI,53202,Draft
KENT WINE & SPIRIT,24 N. MAIN ST,KENT,CT,067570484,Draft
STILLWATERS,8014 COUNTY HWY K,STAR LAKE,WI,54561,Draft
BINNY'S BEV DEPOT BLOOM,353 ARMY TRAIL,BLOOMINGDALE,IL,60108,Draft
QUIGLEY'S IRISH PUB,43 E JEFFERSON,NAPERVILLE,IL,60540,Draft
CROSS LAKE INN,12425 ANTIOCH ROAD,TREVOR,WI,53179,Draft
RASCAL'S ON MURRAY,2311 N MURRAY AV,MILWAUKEE,WI,53211,Draft
THE FARMHOUSE,160 BANK STREET,BURLINGTON,VT,05401,Draft
THE STILL,6820 S 70TH,LINCOLN,NE,68516,Draft
COMMON GROUND,83-87 HARVARD AVE,ALLSTON,MA,02134,Draft
GALE STREET INN,235 DIAMOND LAKE RD,Mundelein,IL,60060,Draft
LASCHETT'S,2119 W IRVING PARK,CHICAGO,IL,60618,Draft
LAACK'S TAVERN & HALL,W4302 CTY TRK JM,SHEBOYGAN FALLS,WI,53085,Draft
REEFPOINT BREWHOUSE,2 CHRISTOPHER COLUMBUS CAUSEWAY,RACINE,WI,53403,Draft
SAZ'S STATE HOUSE/SPEC EV,5539 W STATE ST,MILWAUKEE,WI,53208,Draft
WILLIAMS UPTOWN PUB,2911 HENNEPIN AVE SO,MINNEAPOLIS,MN,55408,Draft
PINES  THE,3180 HWY 51 N,MERCER,WI,54547,Draft
BOTTOMS UP TAVERN,12504 W HAMPTON AVE,BUTLER,WI,53007,Draft
BOULDER JUNCTION*,12550 W BURLEIGH RD,BROOKFIELD,WI,53005 312,Draft
BARLEY'S HOPS AND MALT,N8720 CTY ROAD N,EAST TROY,WI,53120,Draft
MOJO ROSA'S,7778 STATE HIGHWAY 42,EGG HARBOR,WI,54209,Draft
DUKES ON WTR/SCOOTERS PUB,150 E JUNEAU AV,MILWAUKEE,WI,53202,Draft
IRON ABBEY,680 N. EASTON ROAD,HORSHAM,PA,19044,Draft
BELLA VISTA,755-769 S. 11TH STREET,PHILADELPHIA,PA,19147,Draft
NICKY'S,331 MAIN AVE,DE PERE,WI,54115,Draft
RUSS'S BAR & BOTTLE SHOP,938 GLEN FLORA AVE,Waukegan,IL,60085,Draft
CONOR O'NEILL'S (EFT),318 S. MAIN STREET,ANN ARBOR,MI,48104,Draft
BUFFALO WILD WINGS-SHOREW,1023 BROOKFOREST AVE,SHOREWOOD,IL,60404,Draft
MCSHEA'S IRISH PUB,242 HAVERFORD AVENUE,NARBERTH,PA,19072,Draft
CIRCLE TOWNE TAVERN,15 HIGH ST (REAR),OXFORD,OH,45056,Draft
ONE STOP MARKET,651 BROADWAY,HAVERHILL,MA,01830,Draft
BURTON PLACE,1447 N WELLS,CHICAGO,IL,60610,Draft
THE LOCAL,1391 WASHINGTON ST,NEWTON,MA,02465,Draft
SIGRID'S BAVARIAN TRAIL,N6709 LOON LAKE DR,SHAWANO,WI,54166,Draft
BOTTOMS UP SOUTH,500 MADISON AVE,SOUTH MILWAUKEE,WI,53172,Draft
BAYWAY LIQUORS #100,639 BAYWAY AVE,ELIZABETH,NJ,072020000,Draft
DUGOUT   THE,4823 W NATIONAL AVENUE,WEST MILWAUKEE,WI,53214,Draft
LIBERTIES RESTAURANT,705 N. 2ND ST.,PHILADELPHIA,PA,19123,Draft
OLDE MAGOUN'S SALOON,518 MEDFORD ST,SOMERVILLE,MA,02145,Draft
GOLD EAGLE LIQUORS(EXTRA,1721 E GOLF RD,MOUNT PROSPECT,IL,60056,Draft
MERCHANTS LIQUOR MART,88 HIGH ST,DANVERS,MA,01923,Draft
WILDWOOD SPORTS BAR & GRI,1517 16TH STREET SW,ROCHESTER,MN,55901,Draft
BUFFALO WILD WINGS-BRADLE,2012 N  STATE RT 50,BRADLEY,IL,60914,Draft
OLD EAGLE TAVERN,175-177 MARKLE STREET,PHILADELPHIA,PA,19128,Draft
AUSTRIAN HUNGARIAN SINGIN,545 ARCH STREET,NEW BRITAIN,CT,06051,Draft
NEW BLUE RIBBON INN,256 HOLLYWOOD AVE,HILLSIDE,NJ,072050000,Draft
PAZZO,707 56TH STREET,KENOSHA,WI,53140,Draft
BOHEMIAN GARDEN REST.,980 W. 75TH ST.,DOWNERS GROVE,IL,60516,Draft
CANDLEWOOD GRILLE (M),28 RTE. 39(HERITAGE PLAZ,NEW FAIRFIELD,CT,068120000,Draft
BLACK FOREST PUB & GRILLE,1765 SUPERIOR STREET,THREE LAKES,WI,54562,Draft
DAS BIER HAUS,175 CHURCH ST,BURLINGTON,VT,05401,Draft
ROOKIES 3-HUNTLEY,12220 PRINCETON,HUNTLEY,IL,60142,Draft
